activity_id,poi_id,activity,when,tags,need_reservation,est_cost_krw
A001,S003,빈대떡+육회 맛보기,점심,foodie|streetfood,False,12000
A002,S004,케이블카 타고 야경 감상,저녁,night|view|photography,False,15000
A003,B003,활어회 시식,점심,foodie|seafood,False,25000
A004,B002,벽화 골목 포토투어,오전,culture|photography,False,0
A005,J001,일출 트레킹,이른아침,nature|hiking|view,False,0
A006,J002,바이크 또는 카트 투어,오후,nature|bike|beach,True,30000
A007,G012,사찰 투어 및 사진 촬영,오전,culture|history|photography,False,6000
A008,S009,카페 라운딩,오후,cafe|walking|foodie,False,8000
A009,S004,해산물 맛보기,이른아침,foodie|seafood,False,45000
A010,B002,공연 관람,저녁,culture|entertainment|friends,True,50000
A011,J002,공연 관람,저녁,culture|entertainment|family,True,80000
A012,J014,마사지 체험,오후,relaxation|wellness|solo,True,120000
A013,G003,전통 건축 탐방,오전,culture|history,False,15000
A014,J002,전망대 관람,오후,view|photography|outdoor,False,20000
A015,S002,요리 클래스,점심,cooking|culture|experience,True,60000
A016,S017,카페 탐방,오후,cafe|foodie,False,12000
A017,J001,노래방 체험,이른아침,entertainment|nightlife,False,15000
A018,G011,노래방 체험,점심,entertainment|nightlife,False,20000
A019,S003,디저트 맛집 투어,저녁,foodie|dessert,False,15000
A020,S003,노래방 체험,저녁,entertainment|nightlife|friends,False,20000
A021,S004,요리 클래스,오후,cooking|culture|experience,True,40000
A022,G003,전통 공예 체험,오후,culture|experience,True,40000
A023,B001,전통 시장 구경,오후,foodie|market|friends,False,15000
A024,J003,패러글라이딩,하루종일,nature|adventure|view,True,100000
A025,S004,명상 체험,오전,relaxation|spiritual|solo,True,40000
A026,B001,요가 클래스,오전,relaxation|wellness,True,50000
A027,B002,포토 투어,이른아침,photography|walking,False,25000
A028,G002,요리 클래스,저녁,cooking|culture|experience,True,40000
A029,S002,디저트 맛집 투어,오후,foodie|dessert,False,15000
A030,J003,현지 공예품 구매,오후,shopping|souvenir|culture,False,50000
A031,S001,게임방 체험,오후,entertainment|indoor,False,15000
A032,J006,서핑 체험,오후,nature|beach|sports,True,60000
A033,G003,현지 맛집 투어,저녁,foodie|local|friends,False,25000
A034,S001,현지 공예품 구매,오후,shopping|souvenir|culture,False,50000
A035,B001,스쿠버다이빙,이른아침,nature|water|sports,True,120000
A036,G010,현지 공예품 구매,오후,shopping|souvenir|culture,False,50000
A037,B002,현지 술집 체험,저녁,foodie|nightlife,False,35000
A038,B002,일출 감상,이른아침,nature|view|photography,False,0
A039,J001,온천 체험,저녁,relaxation|wellness,False,20000
A040,G001,면세점 쇼핑,오후,shopping|luxury,False,200000
A041,S004,문화재 해설 투어,오후,culture|history|photography|friends,True,35000
A042,S018,테마파크 투어,하루종일,entertainment|family|family,False,100000
A043,S003,요리 클래스,오후,cooking|culture|experience,True,40000
A044,S001,스파/찜질방,저녁,relaxation|wellness|outdoor,False,25000
A045,B002,언어 교환,오후,culture|language|social|friends,False,20000
A046,J003,카약 체험,오후,nature|water|sports,True,60000
A047,G001,카약 체험,오후,nature|water|sports,True,35000
A048,B003,공연 관람,저녁,culture|entertainment,True,30000
A049,B001,전망대 관람,저녁,view|photography,False,10000
A050,B002,명상 체험,오후,relaxation|spiritual,True,30000
A051,G001,테마파크 투어,오후,entertainment|family|indoor,False,100000
A052,S017,전통 시장 쇼핑,오후,shopping|souvenir|friends,False,20000
A053,G003,패러글라이딩,오후,nature|adventure|view|indoor,True,100000
A054,B002,테마파크 투어,오후,entertainment|family|outdoor,False,50000
A055,B002,스파/찜질방,저녁,relaxation|wellness,False,25000
A056,S003,전통 건축 탐방,오전,culture|history|outdoor,False,10000
A057,G003,서예 체험,점심,culture|art|experience,True,30000
